t ω_g β v_dc err_v i_f_ref_d v_w m_m_ref
35.2 1.71088 0 5398.52 1.47792 763.868 11.8784 -822265
35.3 1.71562 0 5405.5 -5.49733 770.988 11.5903 -827789
35.4 1.71995 0 5403.23 -3.23136 777.871 11.4826 -832381
35.5 1.71612 0 5401.79 -1.79481 781.77 8.86175 -836583
35.6 1.71007 0 5395.7 4.30224 776.469 8.02165 -832867
35.7 1.71034 0 5396.25 3.75022 769.361 10.1632 -827007
35.8 1.71525 0 5401.87 -1.866 770.4 11.6429 -827265
35.9 1.71353 0 5403.24 -3.24015 775.757 9.54958 -832021
36 1.71778 0 5398.65 1.35384 775.223 11.4446 -830355
36.1 1.72044 0 5403.7 -3.70438 779.869 10.9598 -834473
36.2 1.7148 0 5400.5 -0.49957 782.143 8.20132 -837061
36.3 1.71299 0 5395.21 4.79278 775.602 9.51783 -831584
36.4 1.71108 0 5399.25 0.752357 772.51 9.47601 -829830
36.5 1.7065 0 5398.25 1.75388 769.72 8.55717 -827978
36.6 1.70725 0 5397.07 2.92714 764.852 10.2967 -823557
36.7 1.71123 0 5401.8 -1.79906 766.145 11.3276 -824273
36.8 1.71081 0 5402.71 -2.70789 770.724 9.94775 -828129
36.9 1.71537 0 5399.77 0.23261 771.544 11.532 -827715
37 1.71879 0 5403.86 -3.8584 776.882 11.1912 -832134
37.1 1.7218 0 5402.31 -2.31325 781.777 11.0768 -835462
37.2 1.7232 0 5401.86 -1.86374 785.384 10.5763 -838392
37.3 1.72001 0 5400.1 -0.0967652 786.311 9.09414 -839748
37.4 1.72019 0 5397.51 2.49357 782.838 10.1831 -836640
37.5 1.72566 0 5401.45 -1.44994 783.824 11.8876 -836818
37.6 1.72409 0 5403.75 -3.75092 789.724 9.6435 -842154
37.7 1.72516 0 5398.18 1.81867 788.751 10.4857 -840618
37.8 1.72225 0 5400.54 -0.535832 788.735 9.19778 -841663
37.9 1.71799 0 5397.12 2.87864 784.907 8.71903 -838825
38 1.71275 0 5396.51 3.49077 778.768 8.3409 -834681
38.1 1.71382 0 5397.03 2.96885 773.104 10.4325 -829594
38.2 1.71211 0 5401.28 -1.28196 773.652 9.5435 -830638
38.3 1.71787 0 5399.48 0.51662 773.467 11.9358 -828975
38.4 1.72121 0 5404.88 -4.88268 780.128 11.1778 -834567
38.5 1.72561 0 5402.29 -2.28846 785.423 11.5381 -837818
38.6 1.72345 0 5402.33 -2.33281 789.68 9.44786 -842106
38.7 1.72686 0 5398.32 1.6772 788.306 11.2307 -839991
38.8 1.72348 0 5402.28 -2.2837 790.813 9.04479 -843322
38.9 1.72234 0 5396.9 3.1035 787.408 9.77485 -840021
39 1.71718 0 5398.83 1.16855 784.446 8.39274 -838910
39.1 1.71193 0 5395.68 4.32245 777.86 8.33529 -833895
39.2 1.70749 0 5396.27 3.7283 770.774 8.60977 -828804
39.3 1.70738 0 5397.59 2.41088 765.796 10.03 -824512
39.4 1.70582 0 5400.32 -0.318671 765.223 9.56732 -824401
39.5 1.70958 0 5399.46 0.537989 764.6 11.2461 -822899
39.6 1.71439 0 5403.62 -3.61708 769.469 11.6064 -826529
39.7 1.71697 0 5403.33 -3.32975 775.694 10.9169 -831187
39.8 1.71129 0 5400.26 -0.263662 777.477 8.16761 -833693
39.9 1.71374 0 5395.9 4.10085 771.811 10.8605 -828180
40 1.71938 0 5403.47 -3.46978 774.961 11.903 -830557
40.1 1.719 0 5403.72 -3.71825 781.671 10.0022 -836031
